ZIPCODE,COUNTY,CTY_FIPS,POPULATION,PO_NAME,streetlength
11436,Queens,081,18681.0,Jamaica,35548.6907737
11213,Kings,047,62426.0,Brooklyn,39472.9043873
11212,Kings,047,83866.0,Brooklyn,64408.3638627
11225,Kings,047,56527.0,Brooklyn,30556.6496142
11218,Kings,047,72280.0,Brooklyn,55369.2514478
11226,Kings,047,106132.0,Brooklyn,53574.278527
11219,Kings,047,92561.0,Brooklyn,61071.1363671
11210,Kings,047,67067.0,Brooklyn,67629.9142471
11230,Kings,047,80857.0,Brooklyn,68508.2392012
11204,Kings,047,77354.0,Brooklyn,52968.8352667
10471,Bronx,005,23477.0,Bronx,75877.1339084
10470,Bronx,005,14740.0,Bronx,22361.2139706
10466,Bronx,005,68942.0,Bronx,79531.9426866
10467,Bronx,005,97932.0,Bronx,72553.8012046
10463,Bronx,005,70641.0,Bronx,3076.14793457
10463,New York,061,70641.0,Bronx,3076.14793457
10475,Bronx,005,40931.0,Bronx,46990.8988477
10464,Bronx,005,4438.0,Bronx,14103.9542308
10464,Bronx,005,4438.0,Bronx,14103.9542308
10464,Bronx,005,4438.0,Bronx,14103.9542308
10469,Bronx,005,65101.0,Bronx,103879.048076
10468,Bronx,005,72877.0,Bronx,36967.0831875
10458,Bronx,005,79362.0,Bronx,50052.9569533
10034,New York,061,39149.0,New York,20418.9904058
10033,New York,061,54284.0,New York,24684.2799064
10462,Bronx,005,75674.0,Bronx,36009.1386616
10040,New York,061,41033.0,New York,15430.2157446
10453,Bronx,005,77576.0,Bronx,37712.6126398
10465,Bronx,005,42012.0,Bronx,137752.101017
10461,Bronx,005,50549.0,Bronx,95672.83832
10457,Bronx,005,70253.0,Bronx,55622.9767176
10460,Bronx,005,56670.0,Bronx,43524.2646508
10032,New York,061,57606.0,New York,38080.801263
10452,Bronx,005,76104.0,Bronx,52228.0310973
10456,Bronx,005,89390.0,Bronx,41411.8917671
10472,Bronx,005,66356.0,Bronx,47284.4568148
10031,New York,061,57010.0,New York,22063.8920132
10039,New York,061,24234.0,New York,10225.2473922
10459,Bronx,005,46804.0,Bronx,36210.7671548
10451,Bronx,005,44140.0,Bronx,44555.7517632
10473,Bronx,005,58284.0,Bronx,70158.7510843
10030,New York,061,26720.0,New York,12306.1784816
10027,New York,061,58639.0,New York,31476.1007577
10474,Bronx,005,12281.0,Bronx,37078.3054449
10455,Bronx,005,39834.0,Bronx,27969.4459515
10037,New York,061,16931.0,New York,11858.428676
10024,New York,061,58521.0,New York,21024.3340209
10454,Bronx,005,37466.0,Bronx,43937.2538981
10026,New York,061,34313.0,New York,14873.1463192
10035,New York,061,34884.0,New York,17138.0600555
10035,New York,061,34884.0,New York,17138.0600555
10048,New York,061,0.0,New York,145.077565366
10025,New York,061,96054.0,New York,28744.8525984
11357,Queens,081,38944.0,Whitestone,127718.382211
10029,New York,061,77503.0,New York,32397.9423557
00083,New York,061,25.0,Central Park,6349.5004354
11356,Queens,081,23379.0,College Point,48922.7786639
11359,Queens,081,0.0,Bayside,7820.74045145
11360,Queens,081,18973.0,Bayside,45357.9145823
11105,Queens,081,36906.0,Astoria,45425.7073651
10128,New York,061,55748.0,New York,14892.3161994
10023,New York,061,62800.0,New York,22014.7851443
11363,Queens,081,7060.0,Little Neck,31698.0216721
10028,New York,061,47530.0,New York,10943.4514557
11354,Queens,081,58525.0,Flushing,79332.6519832
11102,Queens,081,33944.0,Astoria,25859.4402768
11370,Queens,081,40591.0,East Elmhurst,32859.8779622
11370,Bronx,005,40591.0,Bronx,32859.8779622
10021,New York,061,45299.0,New York,13600.7213079
11358,Queens,081,37743.0,Flushing,84293.3986426
11362,Queens,081,17707.0,Little Neck,65472.3703896
10044,New York,061,11661.0,New York,6468.0351586
11369,Queens,081,38116.0,East Elmhurst,50194.0798274
11103,Queens,081,38234.0,Astoria,33338.3142948
11106,Queens,081,38665.0,Astoria,26178.3379176
11368,Queens,081,109069.0,Corona,106369.948892
11377,Queens,081,90852.0,Woodside,104191.127775
11355,Queens,081,82809.0,Flushing,69214.7321757
11101,Queens,081,26254.0,Long Island City,98827.725523
11364,Queens,081,33937.0,Oakland Gardens,98770.1134629
10018,New York,061,5503.0,New York,16435.307853
10020,New York,061,0.0,New York,391.148137845
11005,Queens,081,3533.0,Floral Park,1816.00193164
10017,New York,061,15918.0,New York,13747.2056362
10001,New York,061,22413.0,New York,23864.9413787
10011,New York,061,50594.0,New York,21366.6206963
10016,New York,061,54606.0,New York,24630.7093698
11104,Queens,081,27127.0,Sunnyside,18457.3561488
