PCT,crime_category,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,seven_major_felony_offenses,MURDER & NON NEGL. MANSLAUGHTER                                ,3.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0
1,seven_major_felony_offenses,RAPE                                  ,12.0,5.0,10.0,11.0,11.0,5.0,4.0,7.0,12.0,4.0,6.0,13.0,10.0,12.0,8.0,7.0
1,seven_major_felony_offenses,ROBBERY                               ,252.0,188.0,210.0,164.0,154.0,172.0,119.0,128.0,108.0,106.0,96.0,102.0,81.0,68.0,50.0,79.0
1,seven_major_felony_offenses,FELONY ASSAULT                        ,139.0,164.0,147.0,134.0,129.0,121.0,94.0,90.0,83.0,83.0,68.0,94.0,110.0,87.0,76.0,86.0
1,seven_major_felony_offenses,BURGLARY                              ,475.0,437.0,297.0,403.0,246.0,293.0,255.0,231.0,189.0,207.0,170.0,155.0,188.0,171.0,145.0,138.0
1,seven_major_felony_offenses,GRAND LARCENY                         ,2358.0,2117.0,1896.0,1803.0,1708.0,1624.0,1462.0,1395.0,1258.0,1122.0,1065.0,979.0,985.0,1051.0,896.0,1114.0
1,seven_major_felony_offenses,GRAND LARCENY OF MOTOR VEHICLE                                  ,199.0,157.0,153.0,132.0,133.0,90.0,78.0,63.0,57.0,54.0,38.0,59.0,41.0,27.0,33.0,21.0
1,seven_major_felony_offenses,TOTAL SEVEN MAJOR FELONY OFFENSES,3438.0,3069.0,2715.0,2649.0,2383.0,2305.0,2013.0,1914.0,1708.0,1578.0,1445.0,1402.0,1416.0,1416.0,1208.0,1446.0
1,non_seven_major_felony-offenses,FELONY POSSESSION STOLEN PROPERTY            ,13.0,14.0,8.0,7.0,4.0,6.0,3.0,13.0,17.0,13.0,17.0,15.0,12.0,10.0,31.0,13.0
1,non_seven_major_felony-offenses,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,119.0,97.0,89.0,141.0,250.0,152.0,136.0,161.0,213.0,211.0,197.0,169.0,183.0,111.0,142.0,138.0
1,non_seven_major_felony-offenses,ARSON                                 ,16.0,7.0,4.0,7.0,6.0,6.0,9.0,5.0,6.0,9.0,5.0,3.0,3.0,3.0,9.0,1.0
1,non_seven_major_felony-offenses,FELONY SEX CRIMES (3),8.0,4.0,5.0,11.0,2.0,9.0,7.0,5.0,4.0,7.0,7.0,13.0,12.0,14.0,7.0,13.0
