"","unique_key","created_date","closed_date","agency","complaint_type","descriptor","borough","incident_zip","latitude","longitude","location"
"1",33381375,2016-05-18 12:55:00,2016-05-18 16:30:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",NA,NA,""
"2",33480413,2016-05-31 12:45:00,2016-06-03 12:45:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",NA,NA,""
"3",34651806,2016-10-28 17:54:00,2016-11-02 13:30:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7483613264018,-73.9902843833522,"(40.7483613264018, -73.99028438335218)"
"4",33331141,2016-05-11 17:08:00,2016-05-18 16:30:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7489013727457,-73.9842354540547,"(40.74890137274572, -73.9842354540547)"
"5",32730307,2016-02-20 14:57:00,2016-02-23 13:15:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7521741013365,-73.9954667485404,"(40.7521741013365, -73.99546674854041)"
"6",33371581,2016-05-16 08:54:00,2016-05-20 15:45:00,"DEP","Air Quality","Air: Smoke, Vehicular (AA4)","MANHATTAN","10001",40.7444447353006,-73.9925044021292,"(40.74444473530057, -73.99250440212924)"
"7",34705071,2016-11-04 11:06:00,2016-11-09 12:00:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7447189347596,-73.9890615066523,"(40.74471893475964, -73.98906150665235)"
"8",34367547,2016-09-20 21:46:00,2016-09-21 12:15:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.745641595954,-73.9953444896699,"(40.74564159595397, -73.99534448966986)"
"9",33817219,2016-07-11 18:12:00,2016-07-13 15:45:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7464650201367,-73.995329996259,"(40.74646502013668, -73.99532999625902)"
"10",33849409,2016-07-15 17:44:00,2016-07-19 10:30:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.746651147966,-73.988148118105,"(40.74665114796602, -73.98814811810497)"
"11",33597604,2016-06-14 07:33:00,2016-06-15 12:00:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7466542213197,-73.9919519799629,"(40.74665422131971, -73.99195197996293)"
"12",33029527,2016-03-31 19:33:00,2016-04-05 09:00:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.746749770198,-73.9864374427108,"(40.74674977019799, -73.98643744271078)"
"13",34441522,2016-09-30 12:03:00,2016-10-03 16:00:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.747085242222,-73.9934568812907,"(40.74708524222202, -73.99345688129068)"
"14",33331035,2016-05-11 19:29:00,2016-05-16 20:00:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7471890465352,-73.9874659201645,"(40.74718904653525, -73.98746592016448)"
"15",33334235,2016-05-11 19:32:00,2016-05-16 21:45:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7475100510939,-73.9863145811157,"(40.74751005109395, -73.98631458111575)"
"16",33116825,2016-04-12 21:41:00,2016-04-17 22:00:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7477928428857,-73.987029112807,"(40.74779284288568, -73.98702911280704)"
"17",34818696,2016-11-19 08:15:00,2016-12-08 13:45:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7478346262366,-73.9947813259357,"(40.74783462623656, -73.99478132593568)"
"18",33334249,2016-05-11 14:32:00,2016-05-18 09:15:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7478892919542,-73.9910531786749,"(40.74788929195419, -73.99105317867493)"
"19",33327867,2016-05-11 18:27:00,2016-05-16 21:45:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7482621035776,-73.9862422453283,"(40.74826210357762, -73.98624224532828)"
"20",34921711,2016-12-04 17:27:00,2016-12-21 11:45:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7483334867439,-73.9864082477425,"(40.74833348674394, -73.98640824774252)"
"21",33146897,2016-04-16 09:47:00,2016-04-18 13:00:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7496900069263,-73.9934313614586,"(40.74969000692627, -73.99343136145863)"
"22",33335263,2016-05-11 18:25:00,2016-05-16 21:45:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7497941799773,-73.9914860205715,"(40.74979417997734, -73.99148602057147)"
"23",34148170,2016-08-22 09:04:00,2016-08-24 13:00:00,"DEP","Air Quality","Air: Smoke, Vehicular (AA4)","MANHATTAN","10001",40.7502939232466,-73.9948424892493,"(40.75029392324656, -73.99484248924927)"
"24",33340394,2016-05-12 16:41:00,2016-05-23 17:00:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7506587287638,-73.9908759561977,"(40.75065872876379, -73.99087595619766)"
"25",33336217,2016-05-12 15:50:00,2016-05-16 16:45:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.750933410922,-74.0059551955435,"(40.75093341092195, -74.00595519554346)"
"26",32779809,2016-02-26 08:18:00,2016-03-01 13:15:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7514468237268,-74.0014292579447,"(40.75144682372682, -74.00142925794471)"
"27",33343443,2016-05-12 17:13:00,2016-05-23 13:00:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7523577948826,-73.9917744358472,"(40.75235779488262, -73.99177443584718)"
"28",33338278,2016-05-12 17:06:00,2016-05-23 13:00:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7523577948826,-73.9917744358472,"(40.75235779488262, -73.99177443584718)"
"29",33337300,2016-05-12 16:53:00,2016-05-23 13:00:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7523577948826,-73.9917744358472,"(40.75235779488262, -73.99177443584718)"
"30",33341366,2016-05-12 16:28:00,2016-05-23 13:00:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7525170840268,-73.9932145249769,"(40.75251708402679, -73.99321452497686)"
"31",32831046,2016-03-04 16:44:00,2016-03-08 11:45:00,"DEP","Air Quality","Air: Smoke, Vehicular (AA4)","MANHATTAN","10001",40.7545840746537,-73.9991445704893,"(40.75458407465372, -73.99914457048935)"
"32",33240619,2016-04-29 11:23:00,2016-05-04 10:30:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7557807698175,-74.0019852096343,"(40.755780769817505, -74.0019852096343)"
"33",33545757,2016-06-08 12:59:00,2016-06-14 14:00:00,"DEP","Air Quality","Air: Smoke, Vehicular (AA4)","MANHATTAN","10001",40.7570213063621,-74.0049270211256,"(40.75702130636213, -74.00492702112555)"
"34",34381130,2016-09-22 14:33:00,2016-09-23 14:00:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7449768374535,-73.9880184960357,"(40.744976837453535, -73.98801849603574)"
"35",34891392,2016-11-29 11:16:00,2016-12-10 12:30:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7455286606018,-73.9893248246202,"(40.745528660601764, -73.98932482462016)"
"36",34771211,2016-11-13 14:42:00,2016-11-16 17:15:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7459847195782,-73.9961564774907,"(40.745984719578225, -73.99615647749074)"
"37",32396185,2016-01-12 14:33:00,2016-01-13 14:00:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","10001",40.7469037249552,-73.9887471656999,"(40.746903724955175, -73.98874716569993)"
