"","unique_key","created_date","closed_date","agency","complaint_type","descriptor","borough","incident_zip","latitude","longitude","location"
"1",33433920,2016-05-25 22:18:00,2016-06-01 19:09:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","",NA,NA,""
"2",34655649,2016-10-28 10:27:00,2016-10-31 14:09:00,"DEP","Air Quality","Air: Smoke, Vehicular (AA4)","MANHATTAN","",NA,NA,""
"3",33957287,2016-07-28 17:46:00,2016-07-29 11:00:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","",NA,NA,""
"4",34343847,2016-09-17 14:22:00,2016-09-20 14:45:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","",NA,NA,""
"5",35016002,2016-12-14 17:06:00,2016-12-20 15:45:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","",NA,NA,""
"6",33207906,2016-04-25 10:46:00,2016-04-27 08:08:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","",NA,NA,""
"7",33632413,2016-06-18 09:50:00,2016-06-20 15:45:00,"DEP","Air Quality","Air: Smoke, Vehicular (AA4)","MANHATTAN","",NA,NA,""
"8",33135358,2016-04-14 16:15:00,2016-04-21 09:30:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","",NA,NA,""
"9",32544377,2016-01-27 01:10:00,2016-01-28 15:45:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","",NA,NA,""
"10",35080583,2016-12-21 20:38:00,2016-12-22 11:33:00,"DEP","Air Quality","Air: Odor/Fumes, Vehicle Idling (AD3)","MANHATTAN","",NA,NA,""
"11",33437516,2016-05-25 06:26:00,2016-05-27 12:45:00,"DEP","Air Quality","Air: Smoke, Vehicular (AA4)","MANHATTAN","",NA,NA,""
